Time	I.max_1	I.total_1	I.back_1
0	96.86275	90.91241	81.81373
0.041	96.86275	91.29586	82.16386
0.08	96.86275	91.40915	82.04482
0.118	96.86275	91.23486	82.38795
0.157	96.86275	91.40915	82.38795
0.195	96.86275	91.14597	82.04482
0.234	96.86275	91.58344	83.08124
0.273	96.86275	91.63573	82.73109
0.311	96.86275	91.55033	82.85014
0.349	96.86275	91.17735	81.92577
0.388	96.86275	91.11285	82.61905
0.426	96.86275	91.58518	82.97619
0.465	96.86275	91.60959	82.61905
0.503	96.86275	91.756	83.20728
0.545	96.86275	91.46841	82.62605
0.583	96.86275	91.29238	81.92577
0.621	96.86275	91.49107	82.61905
0.66	96.86275	91.34814	81.80672
0.699	96.86275	91.34814	81.80672
0.737	96.86275	91.63747	83.08124
0.776	96.86275	91.32375	82.38795
0.815	96.86275	91.20349	82.16386
0.853	96.86275	91.44227	82.63305
0.893	96.86275	91.2366	81.92577
0.932	96.86275	91.69673	83.08823
0.971	96.86275	91.69673	82.97619
1.009	96.86275	91.43355	82.507
1.05	96.86275	91.47015	82.51401
1.09	96.86275	91.38126	82.28291
1.129	96.86275	91.52244	82.74509
1.167	96.86275	91.20697	82.27591
1.206	96.86275	91.31329	82.61905
1.245	96.86275	91.29412	82.27591
1.283	96.86275	91.4109	82.39496
1.322	96.86275	91.4109	82.51401
1.36	96.86275	91.46841	82.74509
1.399	96.86275	91.2244	82.61905
1.437	96.86275	91.49979	82.74509
1.475	96.86275	91.40392	82.493
1.515	96.86275	91.34814	82.7381
1.555	96.86275	91.32723	82.28291
1.594	96.86275	91.139	82.507
1.632	96.86275	91.49629	82.62605
1.67	96.86275	91.72287	82.96219
1.709	96.86275	91.75425	83.31933
1.747	96.86275	91.40915	82.507
1.785	96.86275	91.02745	82.15686
1.825	96.86275	91.35338	82.27591
1.863	96.86275	91.35338	82.04482
1.901	96.86275	91.81002	83.43137
1.941	96.86275	91.28889	81.91876
1.979	96.86275	91.28889	81.91876
2.018	96.86275	91.20349	82.507
2.059	96.86275	91.49281	82.38795
2.098	96.86275	91.49281	82.38795
2.138	96.86275	91.60785	82.7381
2.177	96.86275	91.32375	82.507
2.215	96.86275	91.14248	82.38095
2.254	96.86275	91.32549	82.28291
2.293	96.86275	91.46841	82.39496
2.331	96.86275	91.35164	82.507
2.37	96.86275	91.26449	82.39496
2.408	96.86275	91.23312	82.15686
2.448	96.86275	91.35512	82.63305
2.486	96.86275	91.60959	82.7381
2.525	96.86275	91.58518	83.09524
2.565	96.86275	91.44227	82.7521
2.603	96.86275	91.34989	82.5
2.642	96.86275	91.47015	82.62605
2.68	96.86275	91.40915	82.51401
2.719	96.86275	91.46841	82.85715
2.758	96.86275	91.20872	82.27591
2.796	96.86275	91.38126	82.62605
2.835	96.86275	91.38301	82.63305
2.873	96.86275	91.29238	82.507
2.911	96.86275	91.47015	82.86414
2.95	96.86275	91.32375	82.39496
2.988	96.86275	91.26275	82.26891
3.027	96.86275	91.17735	82.27591
3.068	96.86275	91.261	82.03082
3.107	96.86275	91.35338	82.62605
3.146	96.86275	91.2976	82.39496
3.184	96.86275	91.29586	82.27591
3.223	96.86275	91.61133	82.85715
3.261	96.86275	91.35164	82.04482
3.3	96.86275	91.41264	82.51401
3.338	96.86275	91.41264	82.51401
3.378	96.86275	91.66711	82.7381
3.416	96.86275	91.43703	82.38795
3.455	96.86275	91.66711	82.85715
3.532	96.86275	91.61133	82.96918
3.572	96.86275	91.81176	83.20028
3.611	96.86275	91.52419	82.507
3.649	96.86275	91.49804	82.74509
3.689	96.86275	91.34989	81.81373
3.727	96.86275	91.49804	82.7521
3.766	96.86275	91.4074	82.26891
3.804	96.86275	91.32201	81.93278
3.843	96.86275	91.35512	82.51401
3.881	96.86275	91.2976	82.39496
3.92	96.86275	91.35338	82.63305
3.958	96.86275	91.26623	82.27591
3.998	96.86275	91.05882	82.14986
4.036	96.86275	91.18257	82.40196
4.076	96.86275	91.23834	82.16386
4.116	96.86275	91.41438	82.7521
4.154	96.86275	91.28889	82.61205
4.192	96.86275	91.55033	82.73109
4.231	96.86275	91.46841	82.62605
4.269	96.86275	91.43878	82.38795
4.308	96.86275	91.41438	82.7521
4.347	96.86275	90.82701	81.92577
4.385	96.86275	91.05882	82.38095
4.423	96.86275	91.35512	82.39496
4.462	96.86275	91.26449	82.27591
4.501	96.86275	91.58693	83.08823
4.539	96.86275	91.58693	83.08823
4.579	96.86275	91.44053	82.97619
4.618	96.86275	91.26449	82.85715
4.657	96.86275	91.52592	82.85715
4.696	96.86275	91.20872	82.16386
4.735	96.86275	91.41264	82.63305
4.773	96.86275	91.35338	82.51401
4.819	96.86275	91.35338	82.74509
4.862	96.86275	91.11808	82.26891
4.906	96.86275	91.32375	82.86414
4.946	96.86275	91.38301	82.39496
4.984	96.86275	91.23834	82.15686
5.022	96.86275	91.32201	82.507
5.061	96.86275	91.38126	82.39496
5.102	96.86275	91.5573	82.7521
5.141	96.86275	91.52419	82.7381
5.18	96.86275	91.66711	82.96918
5.219	96.86275	91.66711	82.96918
5.259	96.86275	91.49979	82.7521
5.297	96.86275	92.07146	83.90056
5.336	96.86275	92.7634	85.51121
5.375	96.86275	93.19215	86.31653
5.413	96.86275	93.42223	86.77171
5.452	96.86275	93.4536	87.12885
5.491	96.86275	92.96384	85.74229
5.529	96.86275	91.81002	83.66246
5.569	96.86275	88.55425	77.77311
5.609	96.86275	84.71459	71.46358
5.647	96.86275	78.2902	63.63445
5.686	96.86275	69.35599	55.61625
5.725	96.86275	60.70937	49.69888
5.763	70.98039	52.09935	43.12325
5.802	70.98039	47.95991	39.53782
5.84	70.98039	47.60785	39.06162
5.879	77.25491	49.61917	39.63585
5.918	90.19608	54.02702	42.17087
5.956	96.86275	58.58998	44.62185
5.994	96.86275	62.55164	47.514
6.033	96.86275	66.28323	50.39216
6.071	96.86275	69.2061	52.80812
6.112	96.86275	72.33464	55.94538
6.151	96.86275	74.50806	57.78712
6.191	96.86275	76.29107	59.5168
6.229	96.86275	77.86143	61.34454
6.267	96.86275	79.4353	62.81513
6.306	96.86275	80.78606	64.88795
6.344	96.86275	81.64183	65.91036
6.382	96.86275	82.82527	67.54902
6.421	96.86275	83.31155	68.69748
6.459	96.86275	83.31155	68.69748
6.498	96.86275	83.60436	68.81653
6.537	96.86275	84.17429	69.96499
6.576	96.86275	83.91983	69.62885
6.617	96.86275	83.28715	68.71148
6.655	96.86275	82.39303	67.90617
6.694	96.86275	80.23355	64.42577
6.733	96.86275	77.51634	61.90476
6.771	96.86275	73.75687	58.24229
6.81	96.86275	69.00392	54.10364
6.85	96.86275	63.04139	49.81793
6.888	90.19608	56.35904	44.73389
6.927	77.25491	51.42833	41.72269
6.965	70.98039	47.20697	38.15826
7.004	64.70588	45.9207	37.2409
7.043	70.98039	46.20654	37.2409
7.081	70.98039	47.43704	38.03922
7.122	77.25491	49.73246	39.63585
7.162	83.92157	51.50501	40.32913
7.2	90.19608	53.85447	42.18487
7.239	96.86275	56.25969	43.45938
7.277	96.86275	57.78823	44.05462
7.315	96.86275	59.79608	45.32213
7.354	96.86275	61.36993	46.23249
7.392	96.86275	62.68932	47.15686
7.43	96.86275	64.17778	48.41737
7.47	96.86275	65.41177	49.10364
7.509	96.86275	66.7085	49.92997
7.547	96.86275	67.97385	51.42157
7.585	96.86275	69.29673	52.59804
7.625	96.86275	70.44009	53.9916
7.663	96.86275	71.41438	54.45378
7.702	96.86275	72.18998	55.96638
7.741	96.86275	72.81743	55.85434
7.78	96.86275	72.81743	55.85434
7.818	96.86275	72.59085	55.95238
7.857	96.86275	72.10284	55.37815
7.896	96.86275	70.87233	54.55882
7.935	96.86275	69.12767	53.7535
7.973	96.86275	65.76384	50.14706
8.012	96.86275	61.94161	48.19328
8.05	96.86275	57.27581	44.5028
8.09	83.92157	52.08017	40.68628
8.131	70.98039	48.62048	38.38936
8.17	70.98039	46.02876	36.9958
8.209	64.70588	44.36601	35.39216
8.247	64.70588	44.16209	34.90897
