Time	I.max_1	I.total_1	I.back_1
5.729	96.86275	72.44793	58.0112
5.768	96.86275	74.76949	60.32213
5.806	96.86275	76.80523	62.2619
5.845	96.86275	77.9695	63.73249
5.883	96.86275	79.72636	65.58124
5.922	96.86275	81.0719	67.19187
5.96	96.86275	82.27799	68.92157
6	96.86275	83.11111	69.72689
6.038	96.86275	83.139	70.56722
6.077	96.86275	83.97559	71.12045
6.115	96.86275	84.17778	71.2395
6.154	96.86275	83.77168	71.35154
6.194	96.86275	82.96471	69.96499
6.233	96.86275	80.97952	67.66106
6.272	96.86275	78.63181	64.65686
6.31	96.86275	75.21917	61.22549
6.349	96.86275	70.82005	57.56303
6.388	96.86275	64.76166	51.9958
6.426	90.19608	57.44836	46.95378
6.465	77.25491	51.46144	42.17787
6.503	70.98039	47.15294	39.18768
6.542	64.70588	44.739	36.56162
6.58	64.70588	44.27713	35.7563
6.619	64.70588	45.17473	36.66667
6.658	70.98039	46.63878	37.80812
6.698	77.25491	48.72157	39.15966
6.737	83.92157	51.36035	40.91036
6.775	83.92157	51.36035	40.91036
6.814	90.19608	53.39782	42.87815
6.853	96.86275	55.46144	43.57843
6.892	96.86275	57.35424	44.7409
6.93	96.86275	58.99085	45.66526
6.97	96.86275	60.86274	46.93977
7.008	96.86275	62.14553	47.73809
7.047	96.86275	63.89019	49.43977
7.085	96.86275	65.09281	50.14006
7.124	96.86275	66.61786	51.63866
7.163	96.86275	67.85882	52.68207
7.204	96.86275	69.41003	54.06863
7.243	96.86275	70.40348	55.36415
7.282	96.86275	71.56078	56.29552
7.321	96.86275	72.16035	56.9888
7.36	96.86275	72.58562	57.54902
7.398	96.86275	72.35381	57.33893
7.436	96.86275	70.89499	56.51961
7.475	96.86275	69.09456	55.11905
7.513	96.86275	66.16296	52.33193
7.551	96.86275	62.02876	48.87955
7.591	90.19608	57.21307	45.67227
7.629	77.25491	52	42.06583
7.667	70.98039	47.92854	39.40476
7.708	64.70588	44.87669	36.19048
7.746	64.70588	43.01176	35.16106
7.784	64.70588	42.26754	34.81092
7.823	64.70588	42.68584	34.45378
7.861	64.70588	43.72636	35.04902
7.9	70.98039	44.85403	35.97339
7.939	70.98039	46.14379	37.23389
7.977	70.98039	47.261	37.80112
8.016	70.98039	47.261	37.80112
8.054	77.25491	48.49324	38.59244
8.093	77.25491	49.37168	38.93557
8.132	83.92157	50.51852	39.62885
8.171	90.19608	51.72636	39.97899
8.213	90.19608	52.73551	40.33613
8.252	96.86275	53.36471	41.26051
8.291	96.86275	54.73813	42.06583
8.329	96.86275	56.01046	42.89216
8.368	96.86275	57.69586	44.16667
8.406	96.86275	58.95773	44.97199
8.445	96.86275	59.99826	45.78431
8.484	96.86275	61.25664	46.69468
8.523	96.86275	62.89674	48.31232
8.562	96.86275	63.97734	49.56583
8.6	96.86275	64.28932	49.55882
8.638	96.86275	63.7281	49.11064
8.677	96.86275	62.89674	48.77451
8.717	96.86275	60.96907	47.38795
8.755	96.86275	58.38954	46.13446
8.794	90.19608	54.94379	43.45938
8.833	83.92157	50.7573	39.86695
8.871	70.98039	47.57996	37.68908
8.91	70.98039	44.62919	35.28711
8.948	64.70588	43.06754	35.05602
8.986	64.70588	41.97124	34.11765
9.025	64.70588	41.39782	34.0126
9.063	64.70588	41.51286	33.53642
9.101	64.70588	42.23442	34.34874
9.141	64.70588	43.1878	35.06303
9.18	70.98039	44.25098	35.28711
9.22	70.98039	44.82092	35.5112
9.26	70.98039	45.54597	36.31652
9.298	77.25491	46.45577	36.54062
9.337	77.25491	47.39695	37.55602
9.375	77.25491	47.39695	37.55602
9.414	77.25491	48.02963	37.79412
9.454	83.92157	48.77908	38.02521
9.493	83.92157	49.85621	38.47339
9.531	90.19608	50.74858	38.59244
9.57	90.19608	51.57996	39.51681
9.608	96.86275	52.92897	40.22409
9.647	96.86275	53.9695	41.37955
9.686	96.86275	55.34641	42.42997
9.726	96.86275	56.47059	43.14426
9.766	96.86275	57.87016	44.41177
9.804	96.86275	58.72419	44.7479
9.847	96.86275	58.95948	45.09103
9.885	96.86275	58.87407	44.993
9.924	96.86275	57.78823	44.41177
9.963	96.86275	56.12724	43.81652
10.001	90.19608	54.19782	42.42297
10.04	83.92157	51.28018	40.22409
10.079	77.25491	48.72331	38.12325
10.118	70.98039	46.23268	36.65966
10.156	70.98039	44.35904	35.28011
10.195	64.70588	42.81133	34.58683
10.235	64.70588	41.60174	34.12465
10.274	64.70588	41.59652	33.30532
10.312	64.70588	41.62266	33.42437
10.351	64.70588	41.91895	33.78851
10.391	64.70588	42.87059	34.59384
10.429	70.98039	43.47189	34.81793
10.467	70.98039	44.10283	34.71289
10.506	70.98039	44.62397	35.17507
10.544	70.98039	45.30893	35.29412
10.583	77.25491	45.7342	35.73529
10.621	77.25491	46.02353	35.52521
10.659	77.25491	47.2244	36.42857
10.698	77.25491	47.97037	37.10784
10.739	83.92157	48.77211	37.33193
10.777	83.92157	49.39782	37.78711
10.816	83.92157	49.39782	37.78711
10.855	83.92157	50.23442	38.0112
10.894	90.19608	51.61656	39.28572
10.932	90.19608	52.56296	39.7549
10.971	90.19608	53.50588	40.10504
11.01	96.86275	54.48366	41.4986
11.049	96.86275	54.88453	41.4916
11.088	96.86275	55.51373	42.64706
11.126	96.86275	55.32723	42.78011
11.165	90.19608	54.51677	41.5056
11.205	90.19608	53.07712	40.32913
11.245	83.92157	50.84096	38.82353
11.283	77.25491	49.37516	38.13726
11.323	77.25491	47.22963	36.87675
11.362	70.98039	45.14684	35.05602
11.4	70.98039	43.93203	34.58683
11.44	64.70588	42.59346	33.31933
11.478	64.70588	42.0427	33.33333
11.517	64.70588	41.722	32.97619
11.556	64.70588	41.72723	32.97619
