Time	I.max_1	I.total_1	I.back_1
0	83.92157	68.33639	60.86134
0.038	83.92157	68.54205	61.20448
0.078	83.92157	68.17429	60.18207
0.116	83.92157	68.48627	61.20448
0.155	83.92157	68.739	61.30952
0.194	83.92157	68.45664	60.97339
0.233	83.92157	68.59608	60.96638
0.271	83.92157	68.31721	60.74229
0.311	83.92157	68.42876	61.19748
0.349	83.92157	68.42876	61.19748
0.388	83.92157	68.22135	60.96638
0.427	83.92157	68.42876	61.08543
0.468	83.92157	68.48801	61.19748
0.509	83.92157	68.4549	61.30952
0.549	83.92157	68.60131	61.19748
0.588	83.92157	68.58736	61.30952
0.628	83.92157	68.32069	60.7493
0.667	83.92157	68.4549	61.42857
0.706	83.92157	68.14466	60.40617
0.745	83.92157	68.37996	60.97339
0.784	83.92157	68.56819	60.7493
0.823	83.92157	68.31547	60.63726
0.863	83.92157	68.28584	61.08543
0.902	83.92157	68.20044	60.7493
0.941	83.92157	68.37996	60.63726
0.979	83.92157	68.25446	60.86134
1.02	83.92157	68.31895	60.63726
1.059	83.92157	68.40611	60.7493
1.098	83.92157	68.17429	60.63726
1.137	83.92157	68.40087	61.42857
1.177	83.92157	68.2841	60.7493
1.215	83.92157	68.25621	60.86134
1.254	83.92157	68.40611	61.08543
1.293	83.92157	68.09238	60.41317
1.331	83.92157	68.34859	60.7493
1.369	83.92157	68.42876	61.08543
1.408	83.92157	68.31024	61.08543
1.446	83.92157	68.46188	60.97339
1.485	83.92157	68.28235	60.97339
1.526	83.92157	68.40261	60.98039
1.564	83.92157	68.30849	60.98039
1.603	83.92157	68.14466	60.52521
1.641	83.92157	68.43399	61.08543
1.68	83.92157	68.1464	60.30112
1.719	83.92157	68.22832	60.86134
1.758	83.92157	68.70937	61.09244
1.797	83.92157	68.39912	60.97339
1.835	83.92157	68.48801	60.86134
1.874	83.92157	68.08714	60.30112
1.913	83.92157	68.35033	60.86134
1.951	83.92157	68.45316	60.86134
1.99	83.92157	68.48976	60.97339
2.029	83.92157	68.48976	60.97339
2.069	83.92157	68.2597	61.19748
2.11	83.92157	68.28061	60.96638
2.149	83.92157	68.28061	60.96638
2.188	83.92157	68.39912	60.7493
2.227	83.92157	68.43399	60.86134
2.266	83.92157	68.48627	60.97339
2.304	83.92157	68.00523	60.41317
2.343	83.92157	68.37124	61.31653
2.382	83.92157	68.61874	61.19748
2.422	83.92157	68.29107	60.52521
2.46	83.92157	68.40087	61.08543
2.499	83.92157	68.22483	60.96638
2.538	83.92157	68.26144	60.97339
2.578	83.92157	68.31372	60.86134
2.617	83.92157	68.36427	61.30952
2.655	83.92157	68.51591	60.74229
2.694	83.92157	68.16907	60.97339
2.734	83.92157	68.2597	60.97339
2.773	83.92157	68.67974	61.19748
2.811	83.92157	68.4549	61.19748
2.85	83.92157	68.42528	60.97339
2.888	83.92157	68	60.40617
2.926	83.92157	68.43399	61.19748
2.965	83.92157	68.50371	61.20448
3.004	83.92157	68.28758	60.86134
3.043	83.92157	68.4549	60.97339
3.083	83.92157	68.16732	61.08543
3.123	83.92157	68.4305	60.97339
3.161	83.92157	68.30676	60.98039
3.2	83.92157	68.46013	61.08543
3.238	83.92157	68.37299	60.86134
3.276	83.92157	68.11155	60.86134
3.315	83.92157	68.51939	60.7493
3.355	83.92157	68.73203	61.53362
3.393	83.92157	68.28584	60.86134
3.432	83.92157	68.34684	60.86834
3.47	83.92157	68.08714	60.07003
3.509	83.92157	68.08714	60.07003
3.548	83.92157	68.23006	60.63726
3.588	83.92157	68.48627	60.86134
3.627	83.92157	68.28584	60.63025
3.666	83.92157	68.29107	60.86134
3.705	83.92157	68.28758	61.30952
3.745	83.92157	68.20392	60.63726
3.783	83.92157	68.13595	60.7493
3.822	83.92157	68.29281	60.63726
