Time	I.max_1	I.total_1	I.back_1
0	90.19608	71.14771	62.24089
0.037	90.19608	71.38301	62.94118
0.078	90.19608	71.25925	62.47899
0.116	90.19608	71.12157	62.47199
0.154	90.19608	71.03965	62.48599
0.196	90.19608	71.37255	62.58403
0.234	90.19608	71.46318	62.70308
0.272	90.19608	71.46318	62.70308
0.311	90.19608	70.92113	62.2479
0.35	90.19608	71.38301	63.06723
0.39	90.19608	71.06405	62.59104
0.429	90.19608	71.20872	62.48599
0.467	90.19608	71.2976	62.94118
0.506	90.19608	71.06754	62.61205
0.545	90.19608	71.18432	62.72409
0.584	90.19608	70.97865	62.58403
0.622	90.19608	70.87407	62.5
0.661	90.19608	71.03791	62.2479
0.701	90.19608	71.3586	62.84314
0.741	90.19608	71.04488	62.82913
0.78	90.19608	70.75033	62.71009
0.82	90.19608	70.75904	62.14285
0.859	90.19608	71.41438	62.95518
0.897	90.19608	71.32375	62.59104
0.936	90.19608	70.90022	62.5
0.975	90.19608	70.69281	61.91177
1.014	90.19608	70.95076	62.2479
1.053	90.19608	71.12157	62.2549
1.092	90.19608	70.89324	61.67367
1.131	90.19608	71.1268	62.84314
1.17	90.19608	70.75207	62.13585
1.209	90.19608	70.75207	61.90476
1.249	90.19608	71.01003	62.59104
1.288	90.19608	71.03791	62.0168
1.327	90.19608	70.92287	62.71009
1.366	90.19608	70.8915	62.36695
1.404	90.19608	71.04139	62.03081
1.443	90.19608	71.15643	62.38095
1.481	90.19608	71.10065	63.07423
1.52	90.19608	70.98388	62.71709
1.558	90.19608	70.8061	62.2619
1.597	90.19608	70.70153	62.14986
1.637	90.19608	71.18606	62.493
1.675	90.19608	70.84618	62.26891
1.714	90.19608	70.84618	62.26891
1.754	90.19608	70.87407	62.85715
1.793	90.19608	70.87407	62.85715
1.832	90.19608	70.5586	62.03081
1.871	90.19608	71.36209	62.85014
1.91	90.19608	70.98737	62.72409
1.949	90.19608	70.92113	62.35294
1.988	90.19608	70.90544	62.38095
2.027	90.19608	70.6963	62.47899
2.066	90.19608	70.90196	61.91177
2.105	90.19608	70.90196	62.27591
2.144	90.19608	70.86885	62.15686
2.183	90.19608	70.70153	62.03081
2.222	90.19608	70.58823	61.92577
2.264	90.19608	71.04837	62.26891
2.302	90.19608	71.01176	62.493
2.341	90.19608	70.86536	62.14986
2.38	90.19608	70.95773	62.36695
2.418	90.19608	70.72941	62.04482
2.457	90.19608	71.10589	62.61205
2.496	90.19608	70.86536	62.60504
2.534	90.19608	70.83572	62.14285
2.574	90.19608	70.82178	62.38095
2.612	90.19608	70.35817	61.68768
2.651	90.19608	71.33072	63.17227
2.689	90.19608	70.90196	62.61905
2.728	90.19608	70.72418	62.2619
2.768	90.19608	70.278	62.39496
2.806	90.19608	70.52724	61.92577
2.845	90.19608	70.95599	62.12885
2.884	90.19608	70.90022	62.71709
2.923	90.19608	70.78344	62.02381
2.962	90.19608	70.64401	63.07423
3	90.19608	70.61438	62.61205
3.038	90.19608	71.01176	62.5
3.077	90.19608	70.64923	62.38795
3.117	90.19608	70.67538	62.27591
3.155	90.19608	70.33028	61.92577
3.194	90.19608	70.75904	62.73109
3.235	90.19608	70.77647	62.13585
3.274	90.19608	70.78693	62.37395
3.314	90.19608	70.78693	62.37395
3.353	90.19608	70.47495	61.91877
3.391	90.19608	70.43486	61.68068
3.43	90.19608	70.38257	62.2549
3.469	90.19608	70.63355	61.81372
3.508	90.19608	70.84618	62.38095
3.548	90.19608	70.50458	62.38795
3.587	90.19608	70.32331	61.44958
3.625	90.19608	70.44532	62.27591
3.664	90.19608	70.69804	62.2619
3.703	90.19608	70.50108	62.04482
3.742	90.19608	70.70675	62.39496
3.782	90.19608	70.46797	61.69468
3.821	90.19608	70.32854	62.14986
3.86	90.19608	70.58649	62.26891
3.899	90.19608	70.7817	62.82913
3.938	90.19608	70.50283	62.38795
3.976	90.19608	70.26928	61.92577
4.014	90.19608	70.53943	62.27591
4.053	90.19608	70.38954	62.39496
4.092	90.19608	70.52375	61.68768
4.131	90.19608	70.47843	62.40196
4.171	90.19608	70.04619	61.58964
4.21	90.19608	70.24662	62.14986
4.249	90.19608	70.47321	62.5
4.289	90.19608	70.55164	61.45658
4.328	90.19608	70.18736	61.81372
4.366	90.19608	69.90675	61.2395
4.405	90.19608	70.30762	61.81372
4.443	90.19608	70.47321	62.26891
4.482	90.19608	70.44706	61.81372
4.521	90.19608	70.18911	61.68768
4.56	90.19608	70.07931	61.81372
4.598	90.19608	69.81264	61.11344
4.637	90.19608	70.27625	62.14285
4.676	90.19608	70.50108	61.93277
4.714	90.19608	70.26754	62.14986
4.753	90.19608	70.27974	62.16386
4.839	90.19608	70.29543	62.13585
4.883	90.19608	70.50806	62.16386
4.926	90.19608	70.35643	61.57563
4.966	90.19608	70.18736	62.02381
5.005	90.19608	70.50108	62.26891
5.044	90.19608	70.50108	62.03081
5.083	90.19608	70.61612	62.03782
5.122	90.19608	70.6684	61.80672
5.161	90.19608	70.278	61.93277
5.199	90.19608	70.52724	62.5
5.238	90.19608	70.21176	61.12745
5.277	90.19608	70.33726	61.35854
5.316	90.19608	70.53246	62.38095
5.356	90.19608	70.10371	61.47759
5.396	90.19608	70.07059	61.57563
5.434	90.19608	70.30065	61.47059
5.473	90.19608	70.30065	61.47059
5.512	90.19608	69.87364	61.45658
5.551	83.92157	68.07843	59.96499
5.59	83.92157	65.37342	57.66107
5.629	77.25491	61.73246	55.02101
5.668	70.98039	57.6244	50.96638
5.707	64.70588	52.76514	46.79272
5.746	64.70588	50.06362	44.4888
5.785	64.70588	50.28323	43.45938
5.824	70.98039	52.84183	45.20308
5.865	77.25491	55.78736	47.14286
5.903	83.92157	57.8963	49.20868
5.942	83.92157	59.02396	49.68487
