Time	I.max_1	I.total_1	I.back_1
0	96.86275	78.23093	67.14986
0.038	96.86275	78.28671	66.79972
0.077	96.86275	78.60218	67.48599
0.115	96.86275	78.37386	67.14986
0.155	96.86275	78.17516	66.79972
0.192	96.86275	78.14379	66.91177
0.233	96.86275	78.06187	66.91177
0.271	96.86275	78.48889	67.03082
0.309	96.86275	78.43311	67.02381
0.348	96.86275	78.32331	66.91876
0.386	96.86275	78.19956	67.02381
0.424	96.86275	78.14205	66.79272
0.464	96.86275	78.37734	67.25491
0.504	96.86275	78.57081	67.25491
0.543	96.86275	78.22919	66.91177
0.581	96.86275	78.05665	66.79972
0.619	96.86275	78.0915	66.79972
0.658	96.86275	78.34422	67.25491
0.697	96.86275	78.05839	66.68067
0.735	96.86275	78.2902	67.2619
0.774	96.86275	78.2902	67.2619
0.813	96.86275	78.11765	66.80672
0.852	96.86275	78.23442	66.91177
0.89	96.86275	78.51678	67.2619
0.929	96.86275	78.20305	66.91177
0.968	96.86275	78.11242	67.03082
1.008	96.86275	78.0305	66.91177
1.046	96.86275	78.11765	66.91876
1.087	96.86275	78.25882	67.03082
1.125	96.86275	78.4244	67.03082
1.163	96.86275	78.26057	66.90476
1.202	96.86275	78.11765	67.03781
1.24	96.86275	77.97473	66.34454
1.279	96.86275	78.2048	67.14285
1.317	96.86275	78.05839	66.67367
1.356	96.86275	78.23791	66.92577
1.395	96.86275	78.22571	66.79972
1.433	96.86275	78.11765	66.45658
1.472	96.86275	78.34946	67.2619
1.51	96.86275	78.02528	66.91177
1.55	96.86275	78.14554	66.68768
1.589	96.86275	78.25882	67.14986
1.627	96.86275	78.22745	66.91177
1.665	96.86275	78.31111	67.13586
1.704	96.86275	78.40174	67.14285
1.743	96.86275	78.42963	67.14986
1.782	96.86275	78.12113	66.68768
1.82	96.86275	78.14379	67.02381
1.858	96.86275	78.19782	67.03082
1.897	96.86275	78.08802	66.91177
1.935	96.86275	78.0305	66.45658
1.973	96.86275	78.0305	66.45658
2.012	96.86275	78.11765	66.79972
2.053	96.86275	78.17342	67.14285
2.092	96.86275	78.25882	67.03082
2.131	96.86275	78.00784	66.69468
2.17	96.86275	78.20131	66.56863
2.208	96.86275	78.56906	67.03082
2.247	96.86275	78.25708	66.90476
2.285	96.86275	78.25708	66.90476
2.324	96.86275	78.25534	66.90476
2.363	96.86275	78.16819	66.91177
2.403	96.86275	78.1403	67.02381
2.441	96.86275	78.22745	66.91177
2.479	96.86275	78.20131	67.14285
2.518	96.86275	78.25708	66.79972
2.559	96.86275	78.3146	67.2619
2.598	96.86275	78.23442	67.14285
2.637	96.86275	78.25708	67.03082
2.676	96.86275	78.20131	67.03082
2.714	96.86275	77.93987	66.68768
2.753	96.86275	78.31634	67.2619
2.791	96.86275	78.43137	66.91177
2.829	96.86275	78.17342	66.91177
2.868	96.86275	78.14902	67.14986
2.906	96.86275	78.03573	66.68768
2.944	96.86275	78.00784	66.91876
2.984	96.86275	78.17342	67.03082
