Time	I.max_1	I.total_1	I.back_1
0	96.86275	91.5817	81.93278
0.039	96.86275	91.69848	82.39496
0.078	96.86275	91.55555	82.63305
0.116	96.86275	91.75425	82.85715
0.156	96.86275	91.55033	82.38795
0.194	96.86275	91.55033	82.04482
0.232	96.86275	91.69673	82.39496
0.271	96.86275	91.69498	82.61905
0.309	96.86275	91.66361	82.38095
0.349	96.86275	91.6061	82.15686
0.387	96.86275	91.55033	82.28291
0.425	96.86275	91.72636	82.63305
0.465	96.86275	91.72462	82.7381
0.503	96.86275	91.63747	82.15686
0.541	96.86275	91.60785	82.27591
0.579	96.86275	91.25578	82.16386
0.618	96.86275	91.69673	82.27591
0.657	96.86275	91.72462	82.5
0.695	96.86275	91.69673	82.39496
0.733	96.86275	91.63573	82.507
0.773	96.86275	91.63921	82.28291
0.811	96.86275	91.63921	82.16386
0.849	96.86275	91.72287	82.61905
0.887	96.86275	91.60959	82.27591
0.925	96.86275	91.61133	82.28291
0.964	96.86275	91.61133	82.28291
1.003	96.86275	91.49281	81.93278
1.041	96.86275	91.81176	82.97619
1.082	96.86275	91.69673	82.39496
1.12	96.86275	91.86928	82.7381
1.159	96.86275	91.69848	82.85715
1.197	96.86275	91.89891	83.20728
1.236	96.86275	91.7525	82.85014
1.274	96.86275	91.69848	82.52101
1.313	96.86275	91.7281	82.51401
1.351	96.86275	91.57996	82.27591
1.389	96.86275	91.64096	82.86414
1.429	96.86275	91.63921	82.85715
1.467	96.86275	91.6427	82.74509
1.506	96.86275	91.78387	82.62605
1.544	96.86275	91.49804	82.28291
1.582	96.86275	91.67059	82.86414
1.62	96.86275	91.81699	83.21429
1.659	96.86275	91.66711	83.08823
1.697	96.86275	91.87103	82.97619
1.736	96.86275	91.49804	82.64006
1.774	96.86275	91.61307	82.62605
1.813	96.86275	91.72636	82.97619
1.851	96.86275	91.64096	82.7521
1.888	96.86275	91.81351	82.62605
1.927	96.86275	91.46841	82.40196
1.965	96.86275	91.46492	82.62605
2.003	96.86275	91.46492	82.62605
2.042	96.86275	91.78562	83.08823
2.082	96.86275	91.7525	82.62605
2.12	96.86275	91.7525	82.507
2.158	96.86275	91.66885	82.97619
2.197	96.86275	91.38126	82.28291
2.235	96.86275	91.84139	82.97619
2.273	96.86275	91.81176	82.96918
2.312	96.86275	91.81176	82.7381
2.351	96.86275	91.60785	83.31933
2.389	96.86275	91.57996	82.507
2.427	96.86275	91.66885	82.74509
2.466	96.86275	91.75774	82.86414
2.503	96.86275	91.72462	82.507
2.542	96.86275	91.69673	82.86414
2.58	96.86275	91.7525	82.5
2.618	96.86275	91.72462	82.7381
2.657	96.86275	91.64096	82.85715
2.696	96.86275	91.67233	82.63305
2.734	96.86275	91.52419	82.63305
2.772	96.86275	91.75425	82.7381
2.81	96.86275	91.7281	82.7521
2.848	96.86275	91.63747	82.507
2.886	96.86275	91.66711	82.38795
2.925	96.86275	91.67233	82.63305
2.964	96.86275	91.67233	82.63305
3.002	96.86275	91.66885	82.39496
3.04	96.86275	91.60959	82.04482
3.079	96.86275	91.60959	82.51401
3.118	96.86275	91.7525	82.61905
3.156	96.86275	91.69848	82.51401
3.194	96.86275	91.61133	82.16386
3.233	96.86275	91.72636	82.74509
3.271	96.86275	91.69673	82.507
3.31	96.86275	91.69673	82.61905
3.348	96.86275	91.43007	82.38795
3.387	96.86275	91.34989	81.68768
3.425	96.86275	91.61133	82.28291
3.463	96.86275	91.75425	82.86414
3.501	96.86275	91.81351	82.74509
