Time	I.max_1	I.total_1	I.back_1
0	96.86275	91.09193	81.35154
0.041	96.86275	91.09368	81.35154
0.081	96.86275	91.14597	81.34454
0.12	96.86275	91.06231	81.35154
0.159	96.86275	91.20349	81.79972
0.198	96.86275	91.20523	81.23249
0.239	96.86275	91.23486	81.92577
0.279	96.86275	90.97342	81.0084
0.318	96.86275	91.23834	81.58263
0.358	96.86275	91.12157	81.47059
0.397	96.86275	91.37778	81.80672
0.437	96.86275	91.37952	82.04482
0.476	96.86275	91.35338	81.70168
0.515	96.86275	91.26449	81.81373
0.557	96.86275	91.2366	81.82072
0.596	96.86275	91.37604	82.03781
0.635	96.86275	91.26449	82.04482
0.674	96.86275	91.17386	81.68768
0.712	96.86275	91.17735	81.58263
0.752	96.86275	91.09193	81.70168
0.791	96.86275	91.20872	81.58263
0.829	96.86275	91.14945	81.58263
0.87	96.86275	91.26275	81.69468
0.909	96.86275	91.1756	81.58263
0.948	96.86275	91.09019	81.69468
0.987	96.86275	91.12157	81.58263
1.026	96.86275	91.17908	81.70168
1.068	96.86275	91.43355	82.15686
1.107	96.86275	91.17735	81.69468
1.147	96.86275	91.09019	81.57563
1.187	96.86275	91.1512	81.47059
1.226	96.86275	91.14945	81.82072
1.265	96.86275	91.06405	81.58263
1.304	96.86275	91.09019	81.58263
1.342	96.86275	90.97865	81.35854
1.382	96.86275	91.14945	81.46358
1.42	96.86275	90.9194	81.2395
1.459	96.86275	91.06754	81.58964
1.499	96.86275	91.00828	81.35854
1.538	96.86275	91.0658	81.35854
1.578	96.86275	90.94553	80.88235
1.617	96.86275	91.09019	81.69468
1.656	96.86275	90.89324	81.0154
1.694	96.86275	91.06231	81.46358
1.733	96.86275	91.09368	81.47759
1.772	96.86275	91.1512	81.47059
1.811	96.86275	91.12157	81.58263
1.85	96.86275	90.94902	81.12745
1.888	96.86275	90.89324	81.12745
1.927	96.86275	91.06056	81.46358
1.966	96.86275	91.00479	81.23249
2.005	96.86275	91.09193	81.69468
2.043	96.86275	90.97516	81.35154
2.084	96.86275	90.94902	81.12745
2.125	96.86275	91.03094	81.57563
2.164	96.86275	91.09019	81.46358
2.203	96.86275	91.09368	81.58263
2.242	96.86275	91.09368	81.58263
2.281	96.86275	90.94553	81.12045
2.32	96.86275	90.91765	81.12745
2.359	96.86275	90.9194	81.2395
2.398	96.86275	91.11634	81.80672
2.438	96.86275	91.06405	81.47059
2.477	96.86275	91.08846	81.46358
2.516	96.86275	90.97691	81.2395
2.555	96.86275	91.14771	81.69468
2.596	96.86275	91.08672	81.68768
2.634	96.86275	91.00305	81.46358
2.673	96.86275	90.65273	81.12045
2.712	96.86275	91.09368	81.35854
2.752	96.86275	90.74858	81.0084
2.791	96.86275	90.86013	80.88935
2.83	96.86275	90.83224	81.0084
2.868	96.86275	90.74858	80.78432
2.907	96.86275	90.94728	81.2395
2.946	96.86275	90.97691	81.35154
2.984	96.86275	90.80087	80.88935
3.023	96.86275	90.83224	80.89636
3.062	96.86275	90.8915	81.0084
3.104	96.86275	90.91765	81.0084
3.144	96.86275	91.0658	81.58263
3.183	96.86275	90.97168	81.11344
3.221	96.86275	90.9194	81.0084
3.26	96.86275	90.80436	80.77731
3.299	96.86275	90.97342	81.23249
3.337	96.86275	90.97865	81.2395
3.376	96.86275	90.91765	81.12045
3.416	96.86275	90.8061	81.12745
3.454	96.86275	90.71721	80.77731
3.493	96.86275	91.0292	81.56863
3.532	96.86275	90.94902	81.35854
3.57	96.86275	90.74858	80.78432
3.61	96.86275	90.72244	81.2465
3.649	96.86275	90.71896	80.89636
3.688	96.86275	90.9194	81.2395
3.727	96.86275	90.92113	81.47059
3.766	96.86275	90.91765	81.12045
3.805	96.86275	90.92287	81.2395
3.843	96.86275	90.74684	80.89636
3.882	96.86275	90.8061	81.0084
3.921	96.86275	90.8061	81.0084
3.96	96.86275	90.95076	81.2395
3.999	96.86275	90.83224	80.88935
4.039	96.86275	90.86536	81.2465
4.078	96.86275	90.7207	80.55322
4.119	96.86275	90.77821	81.12745
4.159	96.86275	90.94902	81.47059
4.198	96.86275	90.77647	80.66527
4.237	96.86275	90.74858	80.77731
4.276	96.86275	90.86188	81.0084
4.315	96.86275	90.7207	80.78432
4.355	96.86275	90.88802	80.88935
4.394	96.86275	90.92113	81.12745
4.433	96.86275	90.8061	81.2395
4.472	96.86275	90.80436	80.78432
4.511	96.86275	90.74684	80.89636
4.549	96.86275	90.86188	80.89636
4.588	96.86275	90.88976	81.0084
4.629	96.86275	90.74858	81.12745
4.669	96.86275	90.80087	80.77731
4.707	96.86275	90.74684	80.78432
4.746	96.86275	90.80436	81.0084
4.826	96.86275	90.83572	81.2395
4.872	96.86275	90.94553	81.12045
4.916	96.86275	90.77647	80.67226
4.958	96.86275	90.97516	81.23249
4.997	96.86275	90.94553	81.23249
5.036	96.86275	90.80436	81.12045
5.075	96.86275	90.97342	81.23249
5.114	96.86275	90.69107	80.78432
5.155	96.86275	90.8061	80.89636
5.195	96.86275	90.86013	81.12045
5.235	96.86275	90.77821	81.0084
5.274	96.86275	90.80436	81.0084
